Id,storeId,postcode,tag,hasCatalogue,storeName,displayName,address,suburb,state,phone,fax,latitude,longitude,hours,hoursDay
14510,14510,2000,,0, Romeos IGA Food Hall Martin Place, Romeos IGA Food Hall Martin Place,Level 4 MLC centre Martin Place,Sydney,NSW,02 9221 6737,,-33.867710000000000,151.209861000000000,"6:00 AM - 9:00 PM
6:00 AM - 9:00 PM
6:00 AM - 9:00 PM
6:00 AM - 9:00 PM
6:00 AM - 9:00 PM
6:00 AM - 6:00 PM
Closed","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14397,14397,2009,,0,IGA X-press Pyrmont,IGA X-press Pyrmont,"1-29 Bunn Street
Shop 121",Pyrmont,NSW,02 9692 9909,,-33.871395000000000,151.197388000000000,"6:30AM - 10PM
6:30AM - 10PM
6:30AM - 10PM
6:30AM - 10PM
6:30AM - 10PM
7AM - 10PM
7AM - 10PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14402,14402,2000,,0,IGA X-press Thaikee,IGA X-press Thaikee,"2 Quay Street
Shop 101",Haymarket,NSW,02 9211 3150,,-33.880592000000000,151.202972000000000,"10:00 AM - 7:00 PM
10:00 AM - 7:00 PM
10:00 AM - 7:00 PM
10:00 AM - 7:00 PM
10:00 AM - 7:00 PM
10:00 AM - 7:00 PM
10:00 AM - 7:00 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14403,14403,2000,,0,IGA X-press Walsh Bay,IGA X-press Walsh Bay,"16A Hickson Road
",Dawes Point,NSW,02 9247 4122,,-33.856398000000000,151.206313000000000,"8:00 AM - 6:00 PM
8:00 AM - 6:00 PM
8:00 AM - 6:00 PM
8:00 AM - 6:00 PM
8:00 AM - 6:00 PM
9:00 AM - 5:00 PM
9:00 AM - 3:00 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
20721,20721,2000,,0,Locali By Romeo's IGA,Locali By Romeo's IGA,388 George St,Sydney,NSW,(02) 8251 8200,,-33.868410000000000,151.207400000000000,"7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 7:00 PM
7:00 AM - 7:00 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14281,14281,2037,,0,IGA Local Grocer Glebe,IGA Local Grocer Glebe,"215 Glebe Point Road
",Glebe,NSW,02 9552 2220,,-33.879944000000000,151.187317000000000,"7:00 AM - 7:00 PM
7:00 AM - 7:00 PM
7:00 AM - 7:00 PM
7:00 AM - 7:00 PM
7:00 AM - 7:00 PM
7:00 AM - 7:00 PM
8:00 AM - 7:00 PM
","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
20746,20746,2015,,0,Romeo's IGA Food Hall South Eveleigh,Romeo's IGA Food Hall South Eveleigh,"Locomotive Workshop Bays 3, 4a/2 Locomotive St",Eveleigh,NSW,02 9869 9600,,-33.894718000000000,151.195374000000000,"7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM
7:00 AM - 9:00 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14378,14378,2017,,0,IGA Waterloo,IGA Waterloo,"13-21 Botany Rd
",Waterloo,NSW,02 9699 9559,,-33.895662000000000,151.198964000000000,"7AM - 8:30PM
7AM - 8:30PM
7AM - 8:30PM
7AM - 8:30PM
7AM - 8:30PM
8AM - 8PM
8AM - 8PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14213,14213,2015,,0,IGA Alexandria,IGA Alexandria,"Shop 1/68 McEvoy Street
",Alexandria,NSW,02 8005 3100,,-33.901628000000000,151.200580000000000,"7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
8:00 AM - 8:30 PM
8:00 AM - 8:30 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday"
14341,14341,2018,,0,IGA Rosebery,IGA Rosebery,"741 Botany Rd
",Rosebery,NSW,02 8394 9351,,-33.914723000000000,151.200826000000000,"7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
7:00 AM - 8:30 PM
7:00 PM - 8:30 PM
7:00 AM - 8:30 PM
8:00 AM - 8:00 PM
8:00 AM - 8:00 PM","Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday "
